city,Latitude,Longitude
abington,42.1048228,-70.9453218
acton,42.4850931,-71.43284
amherst,42.3731948,-72.5198761
andover,42.65717,-71.1408776
aquinnah,41.3431478,-70.8136792
arlington,42.4153739,-71.1564428
ashby,42.6776715,-71.8198282
attleboro,41.9439695,-71.2804301
barnstable,41.7016936,-70.3036163
barre,42.4228006,-72.1051592
bedford,42.4917301,-71.2817947
bellingham,42.0869493,-71.4746436
berlin,42.3813665,-71.6372642
beverly,42.5489744,-70.8781883
billerica,42.5584264,-71.268947
boston,42.3554334,-71.060511
bourne,41.7412166,-70.5989196
braintree,42.2205956,-71.0041229
brimfield,42.1224026,-72.2003109
brockton,42.0834335,-71.0183787
brookline,42.3329021,-71.1187421
buckland,42.5922517,-72.7912988
burlington,42.5048167,-71.1956111
cambridge,42.3656347,-71.1040018
canton,42.1584324,-71.1447732
carver,41.8834363,-70.7625376
charlton,42.1340806,-71.9698085
chatham,41.6820563,-69.9597376
chelmsford,42.5968617,-71.3517602
chelsea,42.3912241,-71.0369301
chicopee,42.1487691,-72.6071119
clinton,42.4212463,-71.6874099
concord,42.4605189,-71.3488963
cummington,42.4628175,-72.8964631
dalton,42.4741707,-73.1599696
danvers,42.566751,-70.9368313
dartmouth,41.6332267,-70.9879928
dedham,42.2489143,-71.1755732
deerfield,42.5442595,-72.6044771
essex,42.6320389,-70.7828255
everett,42.40843,-71.0536625
fall river,41.7010642,-71.1546367
falmouth,41.5514979,-70.6147519
fitchburg,42.5854371,-71.8046023
framingham,42.2773177,-71.4165905
franklin,42.5896205,-72.6110645
gardner,42.5763523,-71.9952737
gloucester,42.6153595,-70.6624608
gosnold,41.4211401,-70.9287901
great barrington,42.1939364,-73.362773
greenfield,42.5876342,-72.6002068
groton,42.6112242,-71.5745402
groveland,42.7598804,-71.0318212
hadley,42.3424147,-72.5892108
hancock,42.5431855,-73.318461
harvard,42.365743249999994,-71.12221394207614
harwich,41.6862224,-70.0758508
haverhill,42.7777829,-71.0767724
hingham,42.2417669,-70.8897676
hinsdale,42.4388574,-73.1251513
holliston,42.2000966,-71.4245049
holyoke,42.2071184,-72.6075851
hopkinton,42.2288875,-71.5196439
hudson,42.3913503,-71.5676895
huntington,42.2343933,-72.8799009
ipswich,42.679273,-70.8411583
lawrence,42.7070354,-71.1631137
lee,42.3073477,-73.2504911
leicester,42.2459002,-71.9081505
leominster,42.5267443,-71.7614891
littleton,42.5375917,-71.5120096
lowell,42.6414437,-71.3085329
ludlow,42.1589979,-72.4803259
lunenburg,42.595089,-71.7244812
lynn,42.466763,-70.9494939
malden,42.4268484,-71.0683741
mansfield,42.0334326,-71.2189405
marblehead,42.500096,-70.8578253
marion,41.7001043,-70.7628129
marlborough,42.3459271,-71.5522874
marshfield,42.091769,-70.7055941
mashpee,41.6484421,-70.4811383
medford,42.4184296,-71.1061639
melrose,42.4564323,-71.064182
methuen,42.7262016,-71.1908924
middleborough,41.8931576,-70.9111517
millbury,42.1913817,-71.7603934
milton,42.2501425,-71.065573
montague,42.5356426,-72.535088
nantucket,41.2727997,-70.0951867
natick,42.2836393,-71.346996
new bedford,41.6362152,-70.934205
newburyport,42.8132845,-70.8819188
newton,42.3370414,-71.2092214
north adams,42.6990349,-73.1118997
northampton,42.3178989,-72.6311006
norwell,42.1617681,-70.7939307
norwood,42.194543,-71.1994976
orange,42.5908656,-72.3097766
oxford,42.1170157,-71.8644387
peabody,42.5278731,-70.9286609
pembroke,42.0714907,-70.8092074
pittsfield,42.4484778,-73.2541069
plymouth,41.9426657,-70.7618592
provincetown,42.0525612,-70.1858639
quincy,42.2509914,-71.0037374
raynham,41.9487118,-71.0731008
rehoboth,41.8403786,-71.2494938
revere,42.4084302,-71.0119948
rockport,42.6556507,-70.6203216
royalston,42.6762092,-72.187871
russell,42.1897852,-72.8559114
salem,42.5195292,-70.8967226
salisbury,42.8417577,-70.8606083
saugus,42.4648183,-71.010051
scituate,42.1924492,-70.7261966
sheffield,42.110474,-73.3533365
shrewsbury,42.2960187,-71.71351
somerville,42.3875968,-71.0994968
southbridge,42.075191,-72.0331938
spencer,42.2436316,-71.9934879
springfield,42.1018764,-72.5886727
stockbridge,42.282398,-73.3123684
sturbridge,42.1082005,-72.0810584
swansea,41.7481575,-71.1897684
taunton,41.9019257,-71.0931485
templeton,42.5557546,-72.0677077
tisbury,41.4576223,-70.6156969
truro,41.993437,-70.0497457
uxbridge,42.0768175,-71.6298483
wakefield,42.506484,-71.0728306
waltham,42.3756401,-71.2358004
ware,42.2599297,-72.2397806
wareham,41.7626037,-70.7217017
watertown,42.3652518,-71.1843236
wendell,42.5485223,-72.3971709
west bridgewater,42.0191056,-71.0076743
west springfield,42.105237,-72.6213712
westfield,42.1205411,-72.7489158
westford,42.5792583,-71.4378411
weston,42.3667625,-71.3031132
westport,41.6220399,-71.0780195
weymouth,42.2212188,-70.9391625
williamsburg,42.3926274,-72.7302473
williamstown,42.7135472,-73.2094566
woburn,42.4792618,-71.1522766
worcester,42.2625621,-71.8018877
worthington,42.3959993,-72.9358345
yarmouth,41.7056656,-70.2286314
