County,Latitude,Longitude
Plymouth,41.9426657,-70.7618592
Middlesex,42.485452,-71.3968261
Hampshire,42.3432499,-72.6213339
Essex,42.6320389,-70.7828255
Dukes,41.3926378,-70.642011
Bristol,41.7425538,-71.0856545
Barnstable,41.7016936,-70.3036163
Worcester,42.2625621,-71.8018877
Norfolk,42.1538607,-71.1828015
Suffolk,42.3544455,-70.9788771
Franklin,42.5896205,-72.6110645
Hampden,42.1285315,-72.6063441
Berkshire,42.3999954,-73.2322639
Nantucket,41.2727997,-70.0951867
Berkshire ,42.3999954,-73.2322639
